species,locality
Bos_taurus,Pseudocowpox_virus
Bos_taurus,Punta_Toro_virus
Bos_taurus,Rabies_virus
Bos_taurus,Rift_Valley_fever_virus
Bos_taurus,Rinderpest_virus
Bos_taurus,Ross_River_virus
Bos_taurus,Rotavirus_A
Bos_taurus,Rotavirus_B
Bos_taurus,Rotavirus_C
Bos_taurus,Sandfly_fever_Sicilian_virus
Bos_taurus,Sathuperi_virus
Bos_taurus,Sepik_virus
Bos_taurus,Shuni_virus
Bos_taurus,Suid_herpesvirus_1
Bos_taurus,Tamdy
Bos_taurus,Thogoto_virus
Bos_taurus,Tick-borne_encephalitis_virus
Bos_taurus,Torque_Teno_virus
Bos_taurus,Trubanaman_virus
Bos_taurus,TT
Bos_taurus,Upolu_virus
Bos_taurus,Vaccinia_virus
Bos_taurus,Vesicular_exanthema_of_swine_virus
Bos_taurus,Vesicular_stomatitis_Alagoas_virus
Bos_taurus,Vesicular_stomatitis_Indiana_virus
Bos_taurus,Vesicular_stomatitis_New_Jersey_virus
Bos_taurus,Wad_Medani_virus
Bos_taurus,Wesselsbron_virus
Bos_taurus,Wongorr_virus
Bos_taurus,Bovine_coronavirus
Bos_taurus_indicus,Bovine_coronavirus
Boselaphus_tragocamelus,Foot-and-mouth_disease_virus
Brachyteles_arachnoides,Filovirus
Bradypus_tridactylus,Ilheus_virus
Bradypus_tridactylus,Marituba_virus
Bradypus_tridactylus,Mayaro_virus
Bradypus_tridactylus,Oropouche_virus
Bradypus_tridactylus,St._Louis_encephalitis_virus
Bradypus_variegatus,Changuinola_virus
Bradypus_variegatus,Ilheus_virus
Bradypus_variegatus,Punta_Toro_virus
Bradypus_variegatus,St._Louis_encephalitis_virus
Bradypus_variegatus,Vesicular_stomatitis_Indiana_virus
Bubalus_arnee,Bhanja_virus
Bubalus_arnee,Bovine_immunodeficiency_virus
Bubalus_arnee,Buffalopox
Bubalus_arnee,Foot-and-mouth_disease_virus
Bubalus_arnee,Rift_Valley_fever_virus
Bubalus_bubalis,Bhanja_virus
Bubalus_bubalis,Bivens_Arm_virus
Bubalus_bubalis,Bovine_ephemeral_fever_virus
Bubalus_bubalis,Bovine_leukemia_virus
Bubalus_bubalis,Bovine_parainfluenza_virus_3
Bubalus_bubalis,Bovine_viral_diarrhea_virus_1
Bubalus_bubalis,Bubaline_herpesvirus_1
Bubalus_bubalis,Buffalopox
Bubalus_bubalis,Caraparu_virus
Bubalus_bubalis,Catu_virus
Bubalus_bubalis,Crimean-Congo_hemorrhagic_fever_virus
Bubalus_bubalis,Dugbe_virus
Bubalus_bubalis,Foot-and-mouth_disease_virus
Bubalus_bubalis,Guaroa_virus
Bubalus_bubalis,Oropouche_virus
Bubalus_bubalis,Ovine_herpesvirus_2
Bubalus_bubalis,Peste-des-petits-ruminants_virus
Bubalus_bubalis,Rift_Valley_fever_virus
Bubalus_bubalis,Rinderpest_virus
Bubalus_bubalis,Sepik_virus
Bubalus_bubalis,Tacaiuma_virus
Bubalus_bubalis,Wad_Medani_virus
Cabassous_centralis,Vesicular_stomatitis_Indiana_virus
Callicebus_nigrifrons,Filovirus
Callicebus_oenanthe,Filovirus
Callimico_goeldii,Cowpox_virus
Callimico_goeldii,Lymphocytic_choriomeningitis_virus
Callithrix_geoffroyi,Cowpox_virus
Callithrix_geoffroyi,Filovirus
Callithrix_geoffroyi,Vesicular_stomatitis_Indiana_virus
